"","avg_points","std_dev","MOE"
"Liverpool",85.3,4.51167068986568,1.6144806217979
"Manchester City",76.1666666666667,8.2004345273151,2.93448780834373
"Tottenham",74.8,7.87137984661236,2.81673710311168
"Arsenal",69,6.29175705956227,2.25147634833823
"Bournemouth",65.4333333333333,9.36495055248957,3.35120451611242
"Fulham",65,8,2.86276323389367
"Aston Villa",63.7333333333333,8.54171642822623,3.05661396813395
"Chelsea",63.1333333333333,7.18107346376251,2.56971413649359
"Nott'ham Forest",60.6,7.99827567623819,2.86214619256009
"Newcastle Utd",57.0333333333333,6.27794900251355,2.2465351985819
"Manchester Utd",55.7,6.88401446631352,2.46341293946931
"Crystal Palace",47.4,6.65193775241989,2.38036535397212
"Brentford",47.3666666666667,8.58420093818443,3.07181685477374
"Brighton",45.9,9.98049822541872,3.57147542195871
"West Ham",44.5333333333333,7.52344993009023,2.69223198148778
"Everton",41.3,8.00064652559943,2.86299459010815
"Wolves",31.4333333333333,6.54787848418693,2.34312822306672
"Leicester City",29.0333333333333,6.41917028333388,2.29707058490388
"Southampton",28.0666666666667,6.77690466080269,2.42508418781857
"Ipswich Town",20.8666666666667,4.59184684754015,1.64317129135106
